1,3.6997,3.1145,1.2179,1.3496
1,4.9958,2.9824,1.2056,1.3745
1,4.7563,3.5313,1.2047,1.3358
1,3.3687,4.4834,1.2095,1.372
1,3.4834,3.0394,1.8028,2.2828
1,3.4368,3.0074,1.2242,1.3724
1,5.1643,3.1113,1.2408,1.3563
1,4.7777,3.3839,1.1986,1.3598
1,3.3819,4.5042,1.2335,1.3872
1,3.3763,2.9598,1.6928,2.4636
2,1.8243,1.6476,1.2419,1.3911
2,1.831,1.6956,2.5994,1.4911
2,1.807,1.6759,1.2506,1.3788
2,1.7922,2.5133,1.8578,1.383
2,1.8012,1.6312,1.2202,1.3466
2,1.7909,3.1484,1.2451,1.3831
2,1.8356,1.6846,1.2549,1.3817
2,2.4158,2.4538,1.2118,1.3361
2,1.784,1.6421,1.2389,1.3647
2,3.1099,1.8761,1.2266,1.3507
3,1.2821,1.1608,1.2105,1.414
3,1.6132,2.3836,1.2509,1.4286
3,1.2883,1.1824,1.2221,1.3767
3,1.2181,1.2369,2.5913,1.4109
3,1.2615,1.1555,1.2227,1.4308
3,1.2633,1.1107,1.241,2.8656
3,1.1749,1.0905,1.2113,1.3727
3,1.2451,1.1336,1.2065,1.3975
3,2.4021,1.4661,1.2126,1.3494
3,1.2546,1.1521,1.247,1.3805
4,0.9576,0.9915,2.5733,1.3793
4,0.9898,0.8954,1.2287,1.3627
4,0.9493,0.8488,1.2258,1.5372
4,2.0541,1.097,1.2114,1.3514
4,0.9798,0.9164,1.2143,1.3722
4,0.9259,0.8175,1.8597,2.2292
4,0.938,0.8001,1.2269,1.3702
4,0.9662,0.8101,1.2246,1.392
4,1.1325,1.7839,1.5745,1.3347
4,0.955,0.8162,1.2352,1.3961
5,0.7558,0.6502,1.2173,2.0049
5,1.6607,0.6747,1.2268,1.3708
5,0.7374,0.6433,1.2106,1.3384
5,0.7048,0.5972,1.2134,2.4735
5,1.1469,0.667,1.2352,1.3738
5,0.8067,0.6633,1.2284,1.3792
5,0.7874,0.665,1.6514,2.4346
5,0.7729,0.6708,1.2318,1.3356
5,0.7853,0.6628,1.2118,1.356
5,0.7704,0.641,2.3344,1.782
6,0.6583,0.5483,1.2123,1.3842
6,0.6582,0.5588,1.2499,1.3559
6,0.674,0.5573,2.376,1.6987
6,0.6716,0.5657,1.2555,1.3566
6,0.692,0.5772,1.2194,1.4062
6,0.6723,0.5815,2.5627,1.5352
6,0.6513,0.5257,1.2429,1.3718
6,0.6458,0.5527,1.2077,1.3586
6,0.6803,0.5709,2.5562,1.5511
6,0.6825,0.575,1.2231,1.3528
7,0.5992,0.5285,1.2106,1.3729
7,0.5998,0.5059,2.3579,1.8112
7,0.5842,0.4959,1.2143,1.367
7,0.6034,0.5275,1.2263,1.3547
7,0.5981,0.4976,2.0747,2.044
7,0.6295,0.5172,1.2505,1.3875
7,0.5816,0.4933,1.2105,1.3466
7,0.6036,0.5185,1.7158,2.3831
7,0.5537,0.4798,1.2351,1.3473
7,0.5826,0.4979,1.2038,1.3508
8,0.532,0.4536,1.2165,2.8041
8,0.5865,0.4228,1.2242,1.3863
8,0.5228,0.4547,1.2134,1.4077
8,0.5334,0.4439,1.2321,2.0368
8,1.0738,0.7031,1.2532,1.4099
8,0.5081,0.448,1.2777,1.4
8,0.5227,0.497,1.2292,1.3907
8,1.1413,1.0198,1.5798,1.357
8,0.5126,0.4263,1.221,1.3614
8,0.5587,0.4806,1.2307,1.3611
9,0.4475,0.6542,2.4942,1.3507
9,0.4639,0.4197,1.2201,1.3564
9,0.4701,0.3859,1.2257,1.4118
9,0.4769,0.4451,1.8193,2.348
9,0.4554,0.3982,1.236,1.3949
9,0.4626,0.4093,1.2039,1.3544
9,0.4732,0.3951,1.2248,2.3042
9,1.0418,0.4539,1.223,1.3938
9,0.5071,0.4288,1.2035,1.4081
9,0.4789,0.4038,1.2215,1.3482
10,0.8681,0.8093,1.8957,1.4177
10,0.4821,0.3973,1.2331,1.4194
10,0.4411,0.4055,1.229,1.415
10,0.4604,0.3888,2.3982,1.6981
10,0.4387,0.3841,1.2509,1.3955
10,0.4358,0.369,1.2397,1.4027
10,0.4353,0.3664,1.2227,2.8646
